,local_unique_id,address,Country,lat,lng,coordinate_type,living_area,price,currency,title,type,offer_type,url
26688,3927936860,"Modenská, Praha 10 - Horní Měcholupy",CZ,50.04058739901861,14.5684615927279,line,48.0,15000.0,CZK,Pronájem bytu 2+kk 48 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-horni-mecholupy-modenska/3927936860
26691,3928850268,"tř. Osvobození, Karviná - Nové Město",CZ,49.86915777777799,18.535749722222,point,54.0,4550.0,CZK,Pronájem bytu 2+1 54 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/karvina-nove-mesto-tr--osvobozeni/3928850268
26694,3929844828,"Těšovská, Uherský Brod - Těšov",CZ,49.0294495,17.672208800000003,point,20.0,3500.0,CZK,Pronájem  pokoje 20 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/pokoj/uhersky-brod-tesov-tesovska/3929844828
26702,3931524956,"Slezská, Praha 3 - Vinohrady",CZ,50.0768013000488,14.463970184326199,point,32.0,11500.0,CZK,Pronájem bytu 1+1 32 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/praha-vinohrady-slezska/3931524956
26703,3931508572,"Viniční, Brno - Židenice",CZ,49.20103451043581,16.6458805112979,point,52.0,11500.0,CZK,Pronájem bytu 1+kk 52 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/brno-zidenice-vinicni/3931508572
26706,3932724316,"U Petřin, Praha 6 - Břevnov",CZ,50.086058577293215,14.341629763192401,line,48.0,12000.0,CZK,Pronájem bytu 1+1 48 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/praha-brevnov-u-petrin/3932724316
26707,3933040476,"Příbramská, Verneřice",CZ,50.6620915654765,14.2976428929546,point,54.0,3500.0,CZK,Pronájem bytu 2+1 54 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/vernerice-vernerice-pribramska/3933040476
26708,3929886556,"nám. Svobody, Přerov - Přerov I-Město",CZ,49.4478140493369,17.453411499900803,line,49.0,8800.0,CZK,Pronájem bytu 2+1 49 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/prerov-prerov-i-mesto-nam--svobody/3929886556
26709,3932634972,"Na zátorách, Praha - Holešovice",CZ,50.10801,14.43781,line,13.0,13500.0,CZK,Pronájem bytu 1+kk 13 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-holesovice-na-zatorach/3932634972
26711,3929447516,"Pacovská, Praha 4 - Krč",CZ,50.0447350598092,14.443508463703001,line,70.0,19900.0,CZK,Pronájem bytu 3+kk 70 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-krc-pacovska/3929447516
26713,3931713116,"Pražská, Kožlany",CZ,49.9944974633145,13.5442621810462,point,90.0,12000.0,CZK,Pronájem bytu 3+kk 90 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/kozlany-kozlany-prazska/3931713116
26715,3930688604,"Dětská, Zlín",CZ,49.2333472640789,17.6612219469554,point,35.0,10800.0,CZK,Pronájem bytu 1+1 35 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-detska/3930688604
26716,3934224220,"Blanická, Praha 2 - Vinohrady",CZ,50.076481,14.439060000000001,point,131.0,23900.0,CZK,Pronájem bytu 3+1 131 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/praha-vinohrady-blanicka/3934224220
26718,3934072412,"Na Kozačce, Praha 2 - Vinohrady",CZ,50.0718956,14.442000400000001,point,146.0,41000.0,CZK,Pronájem bytu 4+1 146 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/4+1/praha-vinohrady-na-kozacce/3934072412
26720,3933859420,"Karlov, Velké Meziříčí",CZ,49.34585135453261,16.033841198554803,point,113.0,12000.0,CZK,Pronájem bytu 4+1 113 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/4+1/velke-mezirici-velke-mezirici-karlov/3933859420
26721,3933261660,"Děčín - Děčín II-Nové Město, okres Děčín",CZ,50.782003694252786,14.2351603395599,polygon,36.0,5500.0,CZK,Pronájem bytu 2+kk 36 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/decin-decin-ii-nove-mesto-/3933261660
26726,3933560668,"Oravská, Praha 10 - Strašnice",CZ,50.0727006952609,14.5018249866103,line,55.0,13900.0,CZK,Pronájem bytu 2+1 55 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-strasnice-oravska/3933560668
26728,3933518940,"Lodžská, Praha 8 - Bohnice",CZ,50.1309214930087,14.417470097272199,line,53.0,12700.0,CZK,Pronájem bytu 3+kk 53 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-bohnice-lodzska/3933518940
26732,3934744412,"Vyšehradská, Praha 2 - Nové Město",CZ,50.07122469842749,14.4188299585737,line,47.0,15500.0,CZK,Pronájem bytu 2+kk 47 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-nove-mesto-vysehradska/3934744412
26736,3935674204,"Tusarova, Praha 7 - Holešovice",CZ,50.1018474662806,14.450036439005695,line,47.0,16000.0,CZK,Pronájem bytu 2+kk 47 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-holesovice-tusarova/3935674204
26739,3937905756,"Langrova, Brno - Slatina",CZ,49.1786546160913,16.6795744923385,point,30.0,12000.0,CZK,Pronájem bytu 1+kk 30 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/brno-slatina-langrova/3937905756
26740,3936664668,"Žitomírská, Praha 10 - Vršovice",CZ,50.0701436667154,14.456983312636002,line,47.0,12000.0,CZK,Pronájem bytu 1+1 47 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/praha-vrsovice-zitomirska/3936664668
26745,3938229340,"Česákova, Praha 8 - Střížkov",CZ,50.131254343466104,14.4843788235643,line,30.0,8490.0,CZK,Pronájem bytu 1+kk 30 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-strizkov-cesakova/3938229340
26746,3938950236,"Ingrišova, Praha 10 - Uhříněves",CZ,50.029947299999996,14.6071991,point,28.0,10200.0,CZK,Pronájem bytu 1+kk 28 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-uhrineves-ingrisova/3938950236
26747,3937111132,"Živcových, Praha - Stodůlky",CZ,50.0566259875976,14.334062862444403,line,95.0,15000.0,CZK,Pronájem bytu 3+1 95 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/praha-stodulky-zivcovych/3937111132
26751,3939220572,"U Slovanky, Praha 8 - Libeň",CZ,50.12480177175,14.4719291020925,point,42.0,11000.0,CZK,Pronájem bytu 1+1 42 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/praha-liben-u-slovanky/3939220572
26753,3938729564,"Balbínova, Praha 2 - Vinohrady",CZ,50.07819724294001,14.4347761526068,line,95.0,40000.0,CZK,Pronájem bytu 2+kk 95 m² (Mezonet),apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vinohrady-balbinova/3938729564
26754,3935514204,"Korunní, Praha 2 - Vinohrady",CZ,50.0753847018562,14.449460302494801,line,48.0,18500.0,CZK,Pronájem bytu 2+kk 48 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vinohrady-korunni/3935514204
26757,3939266140,"Seifertova, Praha 3 - Žižkov",CZ,50.0845962940946,14.449612191827901,point,79.0,15500.0,CZK,Pronájem bytu 3+1 79 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/praha-zizkov-seifertova/3939266140
26759,3937939036,"Zelené náměstí, Louny",CZ,50.3516644009142,13.817583345517699,point,71.0,13100.0,CZK,Pronájem bytu 2+kk 71 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/louny-louny-zelene-namesti/3937939036
26760,3939180380,"Otická, Opava - Předměstí",CZ,49.9288344354282,17.8868338890666,line,70.0,12500.0,CZK,Pronájem bytu 2+kk 70 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/opava-predmesti-oticka/3939180380
26762,3936903004,"Vinohradská, Praha 3 - Žižkov",CZ,50.07774981101271,14.459920842569401,line,24.0,9400.0,CZK,Pronájem bytu 1+kk 24 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-zizkov-vinohradska/3936903004
26765,3940785244,"Musílkova, Praha 5 - Košíře",CZ,50.0695446910526,14.3695784294886,point,78.0,18500.0,CZK,Pronájem bytu 3+1 78 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/praha-kosire-musilkova/3940785244
26768,3940929372,"Bratislavská, Brno - Zábrdovice",CZ,49.20033671835171,16.623582018629,point,52.0,15000.0,CZK,Pronájem bytu 2+kk 52 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/brno-zabrdovice-bratislavska/3940929372
26771,3940306780,"Studentská, Jirkov",CZ,50.499870300293,13.4382495880127,point,56.0,8300.0,CZK,Pronájem bytu 2+1 56 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/jirkov-jirkov-studentska/3940306780
26772,3941182556,"Šumavská, Kaplice",CZ,48.7365651741247,14.4946214819504,line,92.0,12000.0,CZK,Pronájem bytu 3+kk 92 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/kaplice-kaplice-sumavska/3941182556
26773,3940392796,Praha 5 - Smíchov,CZ,50.0753085253113,14.405656171915199,polygon,72.0,23000.0,CZK,Pronájem bytu 3+kk 72 m² (Podkrovní),apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-smichov-/3940392796
26774,3940138076,"V Kotcích, Praha 1 - Staré Město",CZ,50.0845483477979,14.421134141615601,line,50.0,15000.0,CZK,Pronájem bytu 2+kk 50 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-stare-mesto-v-kotcich/3940138076
26775,3941702748,"Pod Kaštany, Praha - Praha 6",CZ,50.101028,14.409208999999999,line,18.0,9500.0,CZK,Pronájem bytu 1+kk 18 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-praha-6-pod-kastany/3941702748
26776,3941776476,"Bohuslava Martinů, Plzeň - Bolevec",CZ,49.770924,13.379706,point,20.0,8250.0,CZK,Pronájem bytu 1+kk 20 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/plzen-bolevec-bohuslava-martinu/3941776476
26777,3942334300,"Hennerova, Praha 5 - Motol",CZ,50.0716060666906,14.349784349177,point,32.0,8000.0,CZK,Pronájem bytu 1+kk 32 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-motol-hennerova/3942334300
26778,3939901276,"Svornosti, Havířov - Město",CZ,49.782985833332994,18.424280833333,point,69.0,6450.0,CZK,Pronájem bytu 3+1 69 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/havirov-mesto-svornosti/3939901276
26779,3942129500,"Mánesova, Praha - Vinohrady",CZ,50.0778452371055,14.441404714602301,line,105.0,26700.0,CZK,Pronájem bytu 3+1 105 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/praha-vinohrady-manesova/3942129500
26783,3942727260,"Baarova, Praha 4 - Michle",CZ,50.049966276966714,14.4535488836245,line,62.0,13500.0,CZK,Pronájem bytu 2+kk 62 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-michle-baarova/3942727260
26784,3943799900,"Nezvalova, Litoměřice - Předměstí",CZ,50.5434288748775,14.1302592125117,line,40.0,11620.0,CZK,Pronájem bytu 2+kk 40 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/litomerice-predmesti-nezvalova/3943799900
26786,3943279708,"Šumavská, Praha 2 - Vinohrady",CZ,50.07479541331821,14.4439460649491,line,51.0,14000.0,CZK,Pronájem bytu 2+kk 51 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vinohrady-sumavska/3943279708
26790,3939867740,"Přerov, okres Přerov",CZ,49.45483805560001,17.4489980556,polygon,28.0,6500.0,CZK,Pronájem bytu 1+kk 28 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/prerov--/3939867740
26793,3945152348,"Machuldova, Praha 4 - Kamýk",CZ,50.0103592,14.451661600000001,point,42.0,14000.0,CZK,Pronájem bytu 2+kk 42 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-kamyk-machuldova/3945152348
26794,3944000604,"Podvrší, Osečná - Lázně Kundratice",CZ,50.6890568561333,14.9044346216095,point,48.0,20000.0,CZK,Pronájem bytu 1+1 48 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/osecna-lazne-kundratice-podvrsi/3944000604
26795,3944312668,"Belgická, Prostějov",CZ,49.471582336572105,17.0890900666927,point,64.0,12100.0,CZK,Pronájem bytu 3+1 64 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/prostejov-prostejov-belgicka/3944312668
