id,local_unique_id,address,lat,lng,price,title,offer_type,url,kod_zsj_d
12935,3871919708,Praha 9 - Hrdlořezy,50.09362074098699,14.510357499439099,7588000,Prodej bytu 2+kk 58 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hrdlorezy-/3871919708,1317680
12936,3946683484,"Hrdlořezská, Praha 9 - Hrdlořezy",50.093653351943296,14.5095510166092,8100000,Prodej bytu 3+kk 86 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-hrdlorezska/3946683484,1317680
12937,4060794460,"Mezilehlá, Praha 9 - Hrdlořezy",50.094986,14.508914,9767000,Prodej bytu 3+kk 76 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-mezilehla/4060794460,1317680
12938,4140355164,Praha 9 - Hrdlořezy,50.09362074098699,14.510357499439099,9749000,Prodej bytu 3+kk 76 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-/4140355164,1317680
12945,1240321628,Praha 9 - Hrdlořezy,50.09362074098699,14.510357499439099,9497000,Prodej bytu 3+kk 97 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-/1240321628,1317680
12947,1556016732,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,16506820,Prodej bytu 4+kk 122 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-ucnovska/1556016732,1317840
12951,1896976220,"V Třešňovce, Praha 9 - Hrdlořezy",50.094226,14.499879,17950000,Prodej bytu 4+kk 171 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-v-tresnovce/1896976220,1317840
12952,180285020,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,11985300,Prodej bytu 3+kk 100 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/180285020,1317840
12954,2249314140,"Učňovská, Praha 9 - Hrdlořezy",50.091976475299994,14.499700098499998,11790000,Prodej bytu 4+kk 127 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-ucnovska/2249314140,1317840
12956,2436558428,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,8630750,Prodej bytu 3+kk 76 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/2436558428,1317840
12957,2609065564,"Učňovská, Praha 9 - Hrdlořezy",50.091976475299994,14.499700098499998,15900000,Prodej bytu 4+kk 150 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-ucnovska/2609065564,1317840
12958,2827939420,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,9057400,Prodej bytu 3+kk 80 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/2827939420,1317840
12960,2937507420,"Mezitraťová, Praha 9 - Hrdlořezy",50.0966797,14.5086079,23499000,Prodej bytu 4+kk 182 m² (Mezonet),sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-mezitratova/2937507420,1317840
12961,3342528092,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,15564230,Prodej bytu 4+kk 122 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-ucnovska/3342528092,1317840
12962,3761958492,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,8771050,Prodej bytu 3+kk 80 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/3761958492,1317840
12963,3784240732,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,12322250,Prodej bytu 3+kk 100 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/3784240732,1317840
12966,641396316,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,11658700,Prodej bytu 3+kk 100 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/641396316,1317840
12967,851373660,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,16396710,Prodej bytu 4+kk 122 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-ucnovska/851373660,1317840
12968,1220472412,"Učňovská, Praha 9 - Hrdlořezy",50.093571999999995,14.504717000000001,8712400,Prodej bytu 3+kk 76 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-ucnovska/1220472412,1317840
12969,1264287324,"Učňovská, Praha 9 - Hrdlořezy",50.091976475299994,14.499700098499998,12600000,Prodej bytu 4+kk 106 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hrdlorezy-ucnovska/1264287324,1317840
12973,2066116444,"Přemyšlenská, Praha 8 - Kobylisy",50.127530510471495,14.4547789912742,9900000,Prodej bytu 4+kk 103 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kobylisy-premyslenska/2066116444,1304780
12978,3385011804,Praha 8 - Kobylisy,50.1295648361464,14.4547329046603,5690000,Prodej bytu 3+1 67 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-/3385011804,1304780
12987,2354585436,Praha 8,50.1243991667,14.45457,10475000,Prodej bytu 3+kk 81 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-praha-8-/2354585436,1306990
12988,2364305244,"Trojská, Praha 8 - Kobylisy",50.122126670021494,14.451676649414502,8900000,Prodej bytu 3+kk 103 m² (Mezonet),sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kobylisy-trojska/2364305244,1306990
12990,3216920412,Praha 8,50.1243991667,14.45457,5565000,Prodej bytu 3+kk 80 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-praha-8-/3216920412,1306990
12993,3998752604,Praha 8,50.1243991667,14.45457,9590000,Prodej bytu 3+kk 88 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-praha-8-/3998752604,1306990
12998,867744860,"Uzavřená, Praha 8 - Kobylisy",50.122883,14.452531,4500000,Prodej bytu atypické 126 m²,sale,https://www.sreality.cz/detail/prodej/byt/atypicky/praha-kobylisy-uzavrena/867744860,1306990
13009,3614637916,"Libišská, Praha - Kobylisy",50.1270665268508,14.4393666494917,5700000,Prodej bytu 3+1 72 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-libisska/3614637916,1305160
13014,1582915420,"Kubíkova, Praha 8 - Kobylisy",50.1343870592066,14.474568063939,3490000,Prodej bytu 2+kk 47 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kobylisy-kubikova/1582915420,3063800
13016,1301691996,"Havránkova, Praha 8 - Kobylisy",50.1356900062329,14.471341702819199,3750000,Prodej bytu 1+kk 39 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kobylisy-havrankova/1301691996,3063800
13024,2972376668,"Služská, Praha 8 - Kobylisy",50.1265811421861,14.4509908505142,6200000,Prodej bytu 3+1 78 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-sluzska/2972376668,1305080
13041,1092751196,"Třeboradická, Praha 8 - Kobylisy",50.1280561456967,14.4487146835669,3900000,Prodej bytu 1+1 33 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+1/praha-kobylisy-treboradicka/1092751196,1305080
13050,1917927004,"Frýdlantská, Praha 8 - Kobylisy",50.1322821241216,14.4770845367924,4950000,Prodej bytu 3+1 68 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-frydlantska/1917927004,3063710
13051,2853326684,"Frýdlantská, Praha 8 - Kobylisy",50.131069200000006,14.4777718,4390000,Prodej bytu 2+1 64 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-kobylisy-frydlantska/2853326684,3063710
13052,347828060,"Střekovská, Praha 8 - Kobylisy",50.129730200000004,14.474830599999999,3850000,Prodej bytu 2+kk 45 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kobylisy-strekovska/347828060,3063710
13053,3918016348,"Tanvaldská, Praha 8 - Kobylisy",50.129075,14.476529999999999,6700000,Prodej bytu 3+kk 68 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kobylisy-tanvaldska/3918016348,3063710
13055,4211629916,"Frýdlantská, Praha 8 - Kobylisy",50.1314417236155,14.478452481912301,4100000,Prodej bytu 2+kk 45 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kobylisy-frydlantska/4211629916,3063710
