id,local_unique_id,price,living_area,kod_zsj_d,lat,lng,prumer
627,1915604572,35290000,196.0,1290110,50.073093,14.388993,180051.02040816325
628,196721756,8490000,81.0,1290110,50.07338938297961,14.3865051153847,104814.81481481482
630,2771910236,8390000,95.0,1290110,50.0769455393043,14.382889542086101,88315.78947368421
631,2804072284,30490000,173.0,1290110,50.073093087608214,14.388992703141401,176242.774566474
635,3231891292,34290000,223.0,1290110,50.073093,14.388993,153766.81614349777
636,3257781852,24690000,141.0,1290110,50.073093087608214,14.388992703141401,175106.3829787234
637,3285487196,7992357,80.0,1290110,50.0724983215332,14.3876600265503,99904.4625
639,3348544604,13499000,91.0,1290110,50.0760282629,14.3880503119,148340.65934065933
640,3441634908,19640000,148.0,1290110,50.07338938297961,14.3865051153847,132702.7027027027
641,3452210780,8996664,86.0,1290110,50.0724983215332,14.3876600265503,104612.37209302325
642,3506618204,45990000,243.0,1290110,50.073093087608214,14.388992703141401,189259.25925925927
643,3575131740,37550000,209.0,1290110,50.077079174062796,14.387659499162,179665.07177033494
644,3658981212,11500000,165.0,1290110,50.0738491898641,14.3895130815732,69696.9696969697
646,3667521372,8490000,75.0,1290110,50.0769455393043,14.382889542086101,113200.0
647,3740450652,22090000,135.0,1290110,50.073093,14.388993,163629.62962962964
648,3786587996,29890000,172.0,1290110,50.073093087608214,14.388992703141401,173779.06976744186
649,3885493852,11500000,125.0,1290110,50.071748404,14.3832582337,92000.0
651,4063088220,20640000,133.0,1290110,50.073093,14.388993,155187.96992481203
652,4102209372,22590000,140.0,1290110,50.073093087608214,14.388992703141401,161357.14285714287
656,420228700,7290000,73.0,1290110,50.077079174062796,14.387659499162,99863.01369863014
661,63094620,32090000,215.0,1290110,50.073093,14.388993,149255.81395348837
666,1043783260,24982978,173.0,1290110,50.0724983215332,14.3876600265503,144410.2774566474
667,1110298204,28690000,179.0,1290110,50.073093087608214,14.388992703141401,160279.32960893854
670,1228062556,35290000,195.0,1290110,50.073093087608214,14.388992703141401,180974.35897435897
695,1604136540,10457548,77.0,1290030,50.075797177908896,14.368701903426,135812.3116883117
697,1655282780,11297855,86.0,1290030,50.075797177908896,14.368701903426,131370.40697674418
698,1887006300,5114225,34.0,1290030,50.075797177908896,14.368701903426,150418.38235294117
699,1955302492,6000000,62.0,1290030,50.0706319345453,14.376774552033,96774.19354838709
700,1976933468,10500000,76.0,1290030,50.06983899094421,14.3666511183928,138157.8947368421
702,2096524892,15511000,118.0,1290030,50.0733489990234,14.3710403442383,131449.15254237287
703,2107453020,14369237,97.0,1290030,50.075797177908896,14.368701903426,148136.46391752578
704,2142211676,4390000,70.0,1290030,50.06983899094421,14.3666511183928,62714.28571428572
705,2191339100,17477678,120.0,1290030,50.075797177908896,14.368701903426,145647.31666666668
706,204893788,6690000,69.0,1290030,50.07341003417971,14.370969772338901,96956.52173913043
707,2229022300,7665863,54.0,1290030,50.075797177908896,14.368701903426,141960.42592592593
709,211627612,15360984,97.0,1290030,50.075797177908896,14.368701903426,158360.65979381444
