,local_unique_id,address,Country,lat,lng,coordinate_type,living_area,price,currency,title,type,offer_type,url
12356,1818545756,"Benalmádena, Španělsko",CZ,36.59663,-4.528074,point,50.0,2033250.0,CZK,Prodej bytu 2+kk 50 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/benalmadena--/1818545756
12359,1817792348,"Krausova, Praha 9 - Letňany",CZ,50.1411988822466,14.507859233041598,line,45.0,4290000.0,CZK,Prodej bytu 2+kk 45 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-krausova/1817792348
12364,1819602524,"Veslařská, Brno - Pisárky",CZ,49.193677825612106,16.5659403306891,point,82.0,6887500.0,CZK,Prodej bytu 3+kk 82 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-pisarky-veslarska/1819602524
12365,1819815516,"Plzeňská, Praha 5 - Košíře",CZ,50.0718307495117,14.387700080871598,point,50.0,4890000.0,CZK,Prodej bytu 2+kk 50 m² (Podkrovní),apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-plzenska/1819815516
12366,1820409436,"Seifertova, Jeseník",CZ,50.2357381813443,17.2086364940709,point,66.0,1480000.0,CZK,Prodej bytu 2+kk 66 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/jesenik-jesenik-seifertova/1820409436
12375,1821138780,"Šumavská, Karlovy Vary",CZ,50.2266513475109,12.8527272380136,line,75.0,4820869.0,CZK,Prodej bytu 2+kk 75 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/karlovy-vary-karlovy-vary-sumavska/1821138780
12377,1822576476,"U Staré zastávky, Vysoké Mýto - Litomyšlské Předměstí",CZ,49.9468453653936,16.155260504779196,line,81.0,2850000.0,CZK,Prodej bytu 3+1 81 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/vysoke-myto-litomyslske-predmesti-u-stare-zastavky/1822576476
12381,1816993628,"Olomouc, okres Olomouc",CZ,49.593868693598786,17.2508705732619,polygon,63.0,3148570.0,CZK,Prodej bytu 2+kk 63 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/olomouc--/1816993628
12383,1822903900,"Olgy Havlové, Praha 3 - Žižkov",CZ,50.089921999999994,14.482698999999998,point,72.0,7540600.0,CZK,Prodej bytu 3+kk 72 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-olgy-havlove/1822903900
12386,1823382620,"Za Prachárnou, Jihlava",CZ,49.398329955716,15.565300807332498,line,38.0,1650000.0,CZK,Prodej bytu 1+1 38 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/jihlava-jihlava-za-pracharnou/1823382620
12387,1823911516,"Chebská, Karlovy Vary - Dvory",CZ,50.229400112125,12.840912970302501,point,60.0,2708413.0,CZK,Prodej bytu 2+kk 60 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/karlovy-vary-dvory-chebska/1823911516
12394,1823919964,"Kostelní, Vimperk - Vimperk I",CZ,49.0529452171735,13.774745696245501,line,37.0,1150000.0,CZK,Prodej bytu 1+1 37 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/vimperk-vimperk-i-kostelni/1823919964
12395,1823354460,"Roztocká, Velké Přílepy",CZ,50.1584836502505,14.3169802326337,line,45.0,2990000.0,CZK,Prodej bytu 1+1 45 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/velke-prilepy-velke-prilepy-roztocka/1823354460
12399,1826561884,"Radhošťská, Praha 3 - Žižkov",CZ,50.0801136782343,14.456168336319802,point,35.0,4390000.0,CZK,Prodej bytu 1+1 35 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/praha-zizkov-radhostska/1826561884
12401,1826336604,"Jaroslava Holečka, Kladno - Kročehlavy",CZ,50.1356127285748,14.1376497190786,line,58.0,3799000.0,CZK,Prodej bytu 2+kk 58 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/kladno-krocehlavy-jaroslava-holecka/1826336604
12403,1826389852,"Radlická, Praha 5 - Smíchov",CZ,50.063360582215005,14.404411616868,point,37.0,4450000.0,CZK,Prodej bytu 1+kk 37 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-radlicka/1826389852
12405,1825603420,"Hráského, Benešov",CZ,49.780499788083716,14.6918011565363,point,65.0,3990000.0,CZK,Prodej bytu 3+1 65 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/benesov-benesov-hraskeho/1825603420
12408,1825938524,"Vodňanského, Praha 6 - Břevnov",CZ,50.083107299999995,14.368725,point,101.0,9890000.0,CZK,Prodej bytu 3+kk 101 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-vodnanskeho/1825938524
12409,1825451868,"K nové škole, Praha 5 - Zbraslav",CZ,49.9658766,14.385744599999999,point,81.0,5990000.0,CZK,Prodej bytu 3+kk 81 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zbraslav-k-nove-skole/1825451868
12414,1827372892,"V lesíčku, Praha - Smíchov",CZ,50.077994,14.406175,line,83.0,10500000.0,CZK,Prodej bytu 3+1 83 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-smichov-v-lesicku/1827372892
